# [METADATA] Config: 2026-07-21 06:41:47, Items: 8
Time(s),Roll_rad,Pitch_rad,Yaw_rad,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z,Vx,Vy,Vz,YawRate,Pos_X,Pos_Y,Pos_Z,FF_FR,FF_FL,FF_RR,FF_RL,FFE_FR,FFE_FL,FFE_RR,FFE_RL
0.018848419189453125,0.04943714663386345,0.004556230269372463,0.10541597753763199,0.010652070865035057,0.004952756687998772,-0.011171253398060799,-0.06566569954156876,0.4831778109073639,9.654927253723145,-0.0024226626846939325,-0.0011692516272887588,-0.009454118087887764,-0.005651906132698059,1.1026015281677246,0.18577401340007782,0.3498799800872803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.039266347885131836,0.049456916749477386,0.004578021354973316,0.10544665902853012,0.003082423470914364,0.008467886596918106,-0.005087309051305056,-0.06990225613117218,0.45020249485969543,9.690088272094727,-0.002409381093457341,-0.0011896257055923343,-0.010170296765863895,0.004030156880617142,1.1026002168655396,0.18575581908226013,0.34983521699905396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05979347229003906,0.04864334687590599,0.0035617679823189974,0.10530686378479004,0.12488309293985367,-0.33924004435539246,-0.02363886497914791,4.4130754470825195,2.081211805343628,0.4669657051563263,-0.0023159426636993885,-0.00035807822132483125,0.000805976742412895,0.030521530658006668,1.1026041507720947,0.1857467144727707,0.3496679365634918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08034086227416992,0.053394071757793427,-0.0062347641214728355,0.10569600015878677,0.33640292286872864,-0.015667082741856575,-0.05429403483867645,-1.9382680654525757,1.0564411878585815,12.986652374267578,0.07131020724773407,-0.0337073840200901,-0.08986784517765045,-0.012145164422690868,1.1041287183761597,0.18502016365528107,0.3491695821285248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10078573226928711,0.059441518038511276,-0.0011810059659183025,0.10548711568117142,0.05016367509961128,0.4110531806945801,-0.016091102734208107,-0.8363478779792786,-0.38736432790756226,16.164630889892578,0.0701163113117218,-0.042152661830186844,-0.014284556731581688,-0.02102748304605484,1.1066964864730835,0.184413343667984,0.34853821992874146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12114858627319336,0.05719752237200737,0.004191739484667778,0.1047789677977562,-0.28026896715164185,0.11417128145694733,-0.008171282708644867,1.6265778541564941,0.10421447455883026,9.303545951843262,0.07863081991672516,-0.020939046517014503,0.07727887481451035,-0.0028480184264481068,1.1089543104171753,0.18483474850654602,0.34956246614456177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14144372940063477,0.05091754347085953,0.0033544283360242844,0.10413848608732224,-0.24150438606739044,-0.10565309971570969,-0.030458638444542885,0.9288923144340515,0.751707911491394,5.627861499786377,0.0842825323343277,-0.00407622754573822,0.05588437616825104,-0.01963474601507187,1.1099063158035278,0.18569090962409973,0.35123807191848755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1619129180908203,0.04807617887854576,0.0004007045936305076,0.10370570421218872,-0.14610566198825836,-0.1577160656452179,-0.0036682235077023506,0.5700808763504028,0.21851202845573425,7.3050971031188965,0.09122689068317413,-0.00019911510753445327,-0.02105954848229885,-0.0005981284775771201,1.1111855506896973,0.18602432310581207,0.3519226610660553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18219542503356934,0.04877118766307831,-0.004623893182724714,0.10454606264829636,0.17695248126983643,-0.1402169018983841,0.1581890732049942,4.188538074493408,-1.291163682937622,-5.4407639503479,0.11909599602222443,0.006511238403618336,-0.09523189812898636,0.08025089651346207,1.1130512952804565,0.18626795709133148,0.3513150215148926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20263147354125977,0.044228482991456985,-0.0012553236447274685,0.10463559627532959,-0.7813218235969543,0.4047633409500122,-0.05021951347589493,2.433062791824341,-3.1657090187072754,20.36709213256836,0.0965954139828682,0.026977311819791794,-0.11977854371070862,-0.10716540366411209,1.115386962890625,0.18664927780628204,0.3493812382221222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
