Time(s),Target_Vx,Go1_Vx,Target_YawRate,Go1_YawRate,Target_Roll,Go1_Roll,Stab_Roll,Obj_Roll,Target_Pitch,Go1_Pitch,Stab_Pitch,Obj_Pitch,Go1_Accel_X,Go1_Accel_Y,Go1_Accel_Z
0.007,0.300,-0.001,0.000,0.002,0.000,2.854,-2.661,0.000,0.000,2.397,2.998,0.000,-0.425,0.451,9.685
0.017,0.300,-0.001,0.000,0.002,0.000,2.854,-2.661,0.000,0.000,2.398,2.998,0.000,-0.423,0.546,9.759
0.033,0.300,-0.001,0.000,0.002,0.000,2.854,-3.495,0.000,0.000,2.398,3.056,0.000,-0.423,0.546,9.759
0.044,0.300,-0.001,0.000,0.007,0.000,2.854,-3.495,0.000,0.000,2.395,3.056,0.000,-0.415,0.466,9.634
0.055,0.300,-0.001,0.000,0.007,0.000,2.854,-3.495,0.000,0.000,2.395,3.056,0.000,-0.415,0.466,9.634
0.065,0.300,0.002,0.000,0.065,0.000,2.867,-3.495,0.000,0.000,2.315,3.056,0.000,4.849,1.300,-2.807
0.076,0.300,0.002,0.000,0.065,0.000,2.867,-3.495,0.000,0.000,2.315,3.056,0.000,4.849,1.300,-2.807
0.087,0.300,0.056,0.000,-0.016,0.000,2.912,-3.495,0.000,0.000,1.929,3.056,0.000,-1.875,2.136,13.366
0.098,0.300,0.056,0.000,-0.016,0.000,2.912,-3.495,0.000,0.000,1.929,3.056,0.000,-1.875,2.136,13.366
0.108,0.300,0.059,0.000,-0.032,0.000,3.140,1.002,0.000,0.000,1.938,-10.298,0.000,-0.254,0.385,13.730
0.119,0.300,0.086,0.000,-0.004,0.000,3.204,1.002,0.000,0.000,2.013,-10.298,0.000,1.408,0.519,11.285
0.130,0.300,0.086,0.000,-0.004,0.000,3.204,1.002,0.000,0.000,2.013,-10.298,0.000,1.408,0.519,11.285
0.140,0.300,0.114,0.000,-0.029,0.000,3.049,1.002,0.000,0.000,1.848,-10.298,0.000,1.880,0.514,7.948
0.151,0.300,0.114,0.000,-0.029,0.000,3.049,1.002,0.000,0.000,1.848,-10.298,0.000,1.880,0.514,7.948
0.162,0.300,0.148,0.000,-0.059,0.000,2.832,1.002,0.000,0.000,1.343,-10.298,0.000,2.101,0.432,5.697
0.172,0.300,0.200,0.000,0.070,0.000,2.954,1.002,0.000,0.000,0.605,-10.298,0.000,3.027,-0.866,5.676
0.183,0.300,0.200,0.000,0.070,0.000,2.954,1.002,0.000,0.000,0.605,-10.298,0.000,3.027,-0.866,5.676
0.193,0.300,0.221,0.000,0.015,0.000,2.961,1.002,0.000,0.000,0.377,-10.298,0.000,1.270,-1.209,15.514
0.203,0.300,0.221,0.000,0.015,0.000,2.961,1.002,0.000,0.000,0.377,-10.298,0.000,1.270,-1.209,15.514
0.214,0.300,0.267,0.000,-0.012,0.000,2.714,-14.498,0.000,0.000,0.172,0.520,0.000,-1.832,0.002,19.033
0.224,0.300,0.267,0.000,-0.012,0.000,2.714,-14.498,0.000,0.000,0.172,0.520,0.000,-1.832,0.002,19.033
0.235,0.300,0.256,0.000,0.046,0.000,2.465,-5.300,0.000,0.000,0.329,-11.534,0.000,1.846,0.810,10.879
0.245,0.300,0.256,0.000,0.046,0.000,2.465,-5.300,0.000,0.000,0.329,-11.534,0.000,1.846,0.810,10.879
0.255,0.300,0.277,0.000,0.061,0.000,2.489,-5.300,0.000,0.000,0.445,-11.534,0.000,1.085,-0.712,8.828
0.265,0.300,0.277,0.000,0.061,0.000,2.489,-5.300,0.000,0.000,0.445,-11.534,0.000,1.085,-0.712,8.828
0.276,0.300,0.289,0.000,0.116,0.000,2.710,-5.300,0.000,0.000,0.517,-11.534,0.000,0.716,0.040,8.903
0.286,0.300,0.289,0.000,0.116,0.000,2.710,-3.355,0.000,0.000,0.517,-0.852,0.000,0.716,0.040,8.903
0.297,0.300,0.283,0.000,0.132,0.000,2.810,-3.355,0.000,0.000,0.418,-0.852,0.000,1.079,0.140,9.595
0.307,0.300,0.283,0.000,0.132,0.000,2.810,-16.336,0.000,0.000,0.418,1.425,0.000,1.079,0.140,9.595
0.317,0.300,0.306,0.000,0.025,0.000,2.618,-16.336,0.000,0.000,0.232,1.425,0.000,0.792,2.385,5.858
0.327,0.300,0.306,0.000,0.025,0.000,2.618,-8.778,0.000,0.000,0.232,-6.383,0.000,0.792,2.385,5.858
0.338,0.300,0.338,0.000,0.028,0.000,2.321,-8.778,0.000,0.000,-0.082,-6.383,0.000,0.286,2.699,5.369
0.348,0.300,0.338,0.000,0.028,0.000,2.321,-8.778,0.000,0.000,-0.082,-6.383,0.000,0.286,2.699,5.369
0.358,0.300,0.347,0.000,-0.071,0.000,2.235,-8.778,0.000,0.000,-0.123,-6.383,0.000,2.672,-2.308,-4.675
0.369,0.300,0.347,0.000,-0.071,0.000,2.235,-8.778,0.000,0.000,-0.123,-6.383,0.000,2.672,-2.308,-4.675
0.379,0.300,0.412,0.000,-0.056,0.000,2.465,3.132,0.000,0.000,-0.050,-16.239,0.000,-2.300,0.285,18.614
0.389,0.300,0.412,0.000,-0.056,0.000,2.465,3.132,0.000,0.000,-0.050,-16.239,0.000,-2.300,0.285,18.614
0.399,0.300,0.377,0.000,-0.038,0.000,2.372,1.320,0.000,0.000,0.332,-7.487,0.000,-0.316,-0.849,12.530
0.410,0.300,0.377,0.000,-0.038,0.000,2.372,1.320,0.000,0.000,0.332,-7.487,0.000,-0.316,-0.849,12.530
0.420,0.300,0.380,0.000,-0.028,0.000,1.995,4.373,0.000,0.000,0.629,-3.627,0.000,1.359,1.234,7.962
0.431,0.300,0.380,0.000,-0.028,0.000,1.995,4.373,0.000,0.000,0.629,-3.627,0.000,1.359,1.234,7.962
0.441,0.300,0.390,0.000,-0.095,0.000,1.715,4.373,0.000,0.000,0.882,-3.627,0.000,0.326,1.258,6.502
0.452,0.300,0.390,0.000,-0.095,0.000,1.715,4.373,0.000,0.000,0.882,-3.627,0.000,0.326,1.258,6.502
0.462,0.300,0.381,0.000,-0.090,0.000,1.581,4.373,0.000,0.000,0.938,-3.627,0.000,0.796,0.073,7.648
0.472,0.300,0.381,0.000,-0.090,0.000,1.581,4.373,0.000,0.000,0.938,-3.627,0.000,0.796,0.073,7.648
0.483,0.300,0.410,0.000,-0.030,0.000,1.659,4.373,0.000,0.000,0.843,-3.627,0.000,0.892,-0.675,9.523
0.500,0.300,0.451,0.000,0.059,0.000,1.965,9.423,0.000,0.000,0.649,-1.761,0.000,0.627,-2.966,6.671
0.510,0.300,0.451,0.000,0.059,0.000,1.965,5.916,0.000,0.000,0.649,-8.585,0.000,0.627,-2.966,6.671
0.521,0.300,0.443,0.000,-0.092,0.000,2.080,5.916,0.000,0.000,0.582,-8.585,0.000,2.634,-2.457,15.283
0.536,0.300,0.443,0.000,-0.092,0.000,2.080,-16.291,0.000,0.000,0.582,4.185,0.000,2.634,-2.457,15.283
0.546,0.300,0.430,0.000,-0.081,0.000,1.564,-16.291,0.000,0.000,0.551,4.185,0.000,-3.032,-1.106,8.398
0.556,0.300,0.430,0.000,-0.081,0.000,1.564,-16.291,0.000,0.000,0.551,4.185,0.000,-3.032,-1.106,8.398
0.567,0.300,0.401,0.000,-0.042,0.000,1.471,-16.291,0.000,0.000,0.675,4.185,0.000,-0.754,1.156,8.982
0.577,0.300,0.401,0.000,-0.042,0.000,1.471,-16.291,0.000,0.000,0.675,4.185,0.000,-0.754,1.156,8.982
0.588,0.300,0.386,0.000,-0.037,0.000,1.511,11.604,0.000,0.000,0.767,16.970,0.000,0.025,1.665,7.903
0.598,0.300,0.386,0.000,-0.037,0.000,1.511,1.547,0.000,0.000,0.767,7.090,0.000,0.025,1.665,7.903
0.609,0.300,0.379,0.000,0.016,0.000,1.705,1.547,0.000,0.000,0.822,7.090,0.000,0.078,-0.412,7.844
0.619,0.300,0.379,0.000,0.016,0.000,1.705,1.547,0.000,0.000,0.822,7.090,0.000,0.078,-0.412,7.844
0.633,0.300,0.376,0.000,0.029,0.000,1.721,-5.016,0.000,0.000,0.612,6.977,0.000,1.274,1.623,8.283
0.643,0.300,0.376,0.000,0.029,0.000,1.721,-5.564,0.000,0.000,0.612,4.201,0.000,1.274,1.623,8.283
0.654,0.300,0.396,0.000,0.023,0.000,1.430,-5.564,0.000,0.000,0.405,4.201,0.000,-0.090,0.517,11.759
0.666,0.300,0.396,0.000,0.023,0.000,1.430,-5.564,0.000,0.000,0.405,4.201,0.000,-0.090,0.517,11.759
0.677,0.300,0.391,0.000,0.119,0.000,1.467,-5.564,0.000,0.000,0.567,4.201,0.000,1.840,0.231,3.595
0.687,0.300,0.391,0.000,0.119,0.000,1.467,10.211,0.000,0.000,0.567,-13.578,0.000,1.840,0.231,3.595
0.700,0.300,0.415,0.000,0.062,0.000,1.347,-7.712,0.000,0.000,0.628,10.319,0.000,-3.117,-0.167,12.835
0.710,0.300,0.415,0.000,0.062,0.000,1.347,7.099,0.000,0.000,0.628,-7.391,0.000,-3.117,-0.167,12.835
0.720,0.300,0.398,0.000,0.016,0.000,1.308,7.099,0.000,0.000,0.966,-7.391,0.000,0.052,0.174,11.720
0.731,0.300,0.398,0.000,0.016,0.000,1.308,-0.750,0.000,0.000,0.966,0.565,0.000,0.052,0.174,11.720
0.741,0.300,0.387,0.000,-0.046,0.000,1.104,-0.750,0.000,0.000,1.159,0.565,0.000,0.874,-0.052,5.730
0.751,0.300,0.387,0.000,-0.046,0.000,1.104,-0.750,0.000,0.000,1.159,0.565,0.000,0.874,-0.052,5.730
0.762,0.300,0.388,0.000,-0.139,0.000,1.012,-0.750,0.000,0.000,1.255,0.565,0.000,-0.396,0.234,7.538
0.772,0.300,0.388,0.000,-0.139,0.000,1.012,-0.750,0.000,0.000,1.255,0.565,0.000,-0.396,0.234,7.538
0.783,0.300,0.369,0.000,-0.192,0.000,0.954,-0.750,0.000,0.000,1.192,0.565,0.000,0.063,-0.187,7.283
0.793,0.300,0.369,0.000,-0.192,0.000,0.954,-0.750,0.000,0.000,1.192,0.565,0.000,0.063,-0.187,7.283
0.803,0.300,0.381,0.000,-0.107,0.000,1.032,1.364,0.000,0.000,1.052,-0.599,0.000,0.688,-0.659,9.498
