Time(s),Target_Vx,Go1_Vx,Target_YawRate,Go1_YawRate,Target_Roll,Go1_Roll,Stab_Roll,Obj_Roll,Target_Pitch,Go1_Pitch,Stab_Pitch,Obj_Pitch,Go1_Accel_X,Go1_Accel_Y,Go1_Accel_Z
0.005,0.300,0.001,0.000,0.000,0.000,1.885,0.000,0.000,0.000,0.582,0.000,0.000,-0.116,0.363,9.677
0.016,0.300,0.001,0.000,0.006,0.000,1.889,0.000,0.000,0.000,0.583,0.000,0.000,-0.107,0.333,9.646
0.026,0.300,0.001,0.000,0.006,0.000,1.889,0.000,0.000,0.000,0.583,0.000,0.000,-0.107,0.333,9.646
0.036,0.300,0.001,0.000,-0.001,0.000,1.887,0.000,0.000,0.000,0.582,0.000,0.000,-0.079,0.310,9.594
0.046,0.300,0.001,0.000,-0.001,0.000,1.887,0.000,0.000,0.000,0.582,0.000,0.000,-0.079,0.310,9.594
0.057,0.300,0.001,0.000,0.032,0.000,1.839,0.000,0.000,0.000,0.538,0.000,0.000,0.755,1.724,12.103
0.067,0.300,0.001,0.000,0.032,0.000,1.839,0.000,0.000,0.000,0.538,0.000,0.000,0.755,1.724,12.103
0.077,0.300,0.017,0.000,0.092,0.000,2.040,0.000,0.000,0.000,0.265,0.000,0.000,-2.925,-1.826,12.789
0.088,0.300,0.017,0.000,0.092,0.000,2.040,0.000,0.000,0.000,0.265,0.000,0.000,-2.925,-1.826,12.789
0.098,0.300,-0.000,0.000,-0.002,0.000,2.224,0.000,0.000,0.000,0.368,0.000,0.000,-1.369,-0.768,13.914
0.108,0.300,-0.000,0.000,-0.002,0.000,2.224,0.000,0.000,0.000,0.368,0.000,0.000,-1.369,-0.768,13.914
0.119,0.300,0.016,0.000,-0.028,0.000,2.300,0.000,0.000,0.000,0.565,0.000,0.000,0.126,0.400,12.593
0.129,0.300,0.016,0.000,-0.028,0.000,2.300,0.000,0.000,0.000,0.565,0.000,0.000,0.126,0.400,12.593
0.139,0.300,0.027,0.000,-0.128,0.000,2.134,0.000,0.000,0.000,0.524,0.000,0.000,0.400,1.332,8.399
0.150,0.300,0.027,0.000,-0.128,0.000,2.134,0.000,0.000,0.000,0.524,0.000,0.000,0.400,1.332,8.399
0.160,0.300,0.043,0.000,-0.183,0.000,1.987,0.000,0.000,0.000,0.188,0.000,0.000,0.931,-0.150,6.682
0.170,0.300,0.075,0.000,-0.078,0.000,2.185,0.000,0.000,0.000,-0.397,0.000,0.000,1.619,-1.968,12.073
0.181,0.300,0.075,0.000,-0.078,0.000,2.185,0.000,0.000,0.000,-0.397,0.000,0.000,1.619,-1.968,12.073
0.191,0.300,0.086,0.000,-0.037,0.000,2.128,0.000,0.000,0.000,-0.601,0.000,0.000,2.957,1.167,4.986
0.201,0.300,0.086,0.000,-0.037,0.000,2.128,0.000,0.000,0.000,-0.601,0.000,0.000,2.957,1.167,4.986
0.211,0.300,0.198,0.000,-0.133,0.000,1.915,0.000,0.000,0.000,-0.937,0.000,0.000,-2.842,2.223,21.023
0.221,0.300,0.198,0.000,-0.133,0.000,1.915,0.000,0.000,0.000,-0.937,0.000,0.000,-2.842,2.223,21.023
0.232,0.300,0.148,0.000,-0.055,0.000,1.701,0.000,0.000,0.000,-0.749,0.000,0.000,2.671,1.116,8.514
0.242,0.300,0.148,0.000,-0.055,0.000,1.701,0.000,0.000,0.000,-0.749,0.000,0.000,2.671,1.116,8.514
0.252,0.300,0.190,0.000,0.090,0.000,1.720,0.000,0.000,0.000,-0.702,0.000,0.000,2.644,-0.693,9.516
0.262,0.300,0.190,0.000,0.090,0.000,1.720,0.000,0.000,0.000,-0.702,0.000,0.000,2.644,-0.693,9.516
0.272,0.300,0.202,0.000,0.185,0.000,2.017,0.000,0.000,0.000,-0.682,0.000,0.000,1.905,-0.111,9.178
0.282,0.300,0.202,0.000,0.185,0.000,2.017,0.000,0.000,0.000,-0.682,0.000,0.000,1.905,-0.111,9.178
0.292,0.300,0.207,0.000,0.248,0.000,2.207,0.000,0.000,0.000,-0.864,0.000,0.000,1.016,1.033,9.195
0.303,0.300,0.207,0.000,0.248,0.000,2.207,0.000,0.000,0.000,-0.864,0.000,0.000,1.016,1.033,9.195
0.313,0.300,0.217,0.000,0.204,0.000,2.203,0.000,0.000,0.000,-1.111,0.000,0.000,1.356,1.054,9.891
0.323,0.300,0.217,0.000,0.204,0.000,2.203,0.000,0.000,0.000,-1.111,0.000,0.000,1.356,1.054,9.891
0.333,0.300,0.236,0.000,0.125,0.000,1.810,0.000,0.000,0.000,-1.534,0.000,0.000,1.032,0.900,7.257
0.343,0.300,0.236,0.000,0.125,0.000,1.810,0.000,0.000,0.000,-1.534,0.000,0.000,1.032,0.900,7.257
0.354,0.300,0.221,0.000,-0.225,0.000,1.541,0.000,0.000,0.000,-1.470,0.000,0.000,-1.235,1.054,9.680
